,A,B,C,D,E,F,G,H,I,J
46,ESC-545,25-04-2026,RF-1859,Agent,Himalaya Holidays,Email,"Agent chasing for a status update, no response",Resolved,01-05-2026,6
47,ESC-546,25-04-2026,RF-1635,Agent,Wander Agency,Email,"Agent chasing for a status update, no response",Resolved,27-04-2026,2
48,ESC-547,27-04-2026,RF-1089,Agent,Sunrise Trips,Email,"Agent chasing for a status update, no response",Open,,64
49,ESC-548,28-04-2026,no ref,Agent,Nomad Travel,Phone,"Sent refund request on Email, never got a ticket number",Resolved,14-05-2026,16
50,ESC-549,30-04-2026,,Agent,GoFly Holidays,Phone,WhatsApp request appears to have been ignored entirely,Resolved,06-05-2026,6
51,ESC-550,04-05-2026,RF-1324,Agent,Nomad Travel,Email,"Agent chasing for a status update, no response",Resolved,11-05-2026,7
52,ESC-551,06-05-2026,RF-1432,Agent,Global Wings,Phone,"Agent chasing for a status update, no response",Resolved,14-05-2026,8
53,ESC-552,06-05-2026,RF-1508,Internal,Metro Yatra,WhatsApp,"Ticket shows closed, Finance has no record of this refund",Open,,55
54,ESC-553,09-05-2026,RF-1697,Agent,Voyage Desk,Email,"Agent chasing for a status update, no response",Open,,52
55,ESC-554,11-05-2026,RF-1743,Agent,Global Wings,Email,Repeated follow-ups on refund status with no reply,Open,,50
56,ESC-555,12-05-2026,RF-1248,Agent,Peak Journeys,WhatsApp,Repeated follow-ups on refund status with no reply,Open,,49
57,ESC-556,12-05-2026,RF-1197,Agent,GoFly Holidays,WhatsApp,Two different refund figures quoted to the same agent,Resolved,22-05-2026,10
58,ESC-557,13-05-2026,RF-1363,Agent,Metro Yatra,WhatsApp,"Agent chasing for a status update, no response",Resolved,19-05-2026,6
59,ESC-558,13-05-2026,RF-1645,Agent,BlueJet Tours,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,48
60,ESC-559,14-05-2026,RF-1394,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Resolved,20-05-2026,6
61,ESC-560,14-05-2026,RF-1040,Internal,Voyage Desk,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,47
62,ESC-561,16-05-2026,RF-1524,Agent,Orbit Travels,Phone,"Agent chasing for a status update, no response",Resolved,25-05-2026,9
63,ESC-562,16-05-2026,RF-1805,Agent,Peak Journeys,Phone,Two different refund figures quoted to the same agent,Resolved,22-05-2026,6
64,ESC-563,18-05-2026,RF-1753,Agent,DeccanFly,Phone,Repeated follow-ups on refund status with no reply,Open,,43
65,ESC-564,18-05-2026,RF-1535,Agent,Sunrise Trips,Email,Repeated follow-ups on refund status with no reply,Open,,43
66,ESC-565,19-05-2026,RF-1118,Internal,Lotus Travel Co,Email,"Marked complete on Support side, nothing received by agent",Resolved,27-05-2026,8
67,ESC-566,19-05-2026,RF-1233,Agent,Orbit Travels,Email,Email request appears to have been ignored entirely,Open,,42
68,ESC-567,19-05-2026,RF-1139,Agent,Nomad Travel,Phone,"Short payment - agent expected full amount, no deduction explained",Open,,42
69,ESC-568,23-05-2026,RF-1501,Agent,Peak Journeys,WhatsApp,"Agent chasing for a status update, no response",Resolved,03-06-2026,11
70,ESC-569,23-05-2026,RF-1707,Agent,Coral Voyages,Phone,"Refund promised weeks ago, still sitting unpaid",Resolved,09-06-2026,17
71,ESC-570,23-05-2026,RF-1065,Agent,BlueJet Tours,Email,Refund amount received is less than the amount promised,Resolved,27-05-2026,4
72,ESC-571,24-05-2026,RF-1614,Agent,Metro Yatra,Email,"Told refund rejected, but no reason given",Open,,37
73,ESC-572,24-05-2026,RF-1382,Agent,Wander Agency,Phone,"Short payment - agent expected full amount, no deduction explained",Open,,37
74,ESC-573,25-05-2026,RF-1339,Agent,Peak Journeys,Email,"No reference number given, agent chasing for two weeks",Open,,36
75,ESC-574,26-05-2026,RF-1416,Agent,Wander Agency,Phone,"Short payment - agent expected full amount, no deduction explained",Resolved,02-06-2026,7
76,ESC-575,27/05/26,RF-1355,Agent,Peak Journeys,Email,Refund amount received is less than the amount promised,Open,,34
77,ESC-576,28-05-2026,RF-1776,Agent,Lotus Travel Co,Email,Decline communicated without any policy explanation,Resolved,12-06-2026,15
78,ESC-577,29-05-2026,RF-1199,Internal,Nomad Travel,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,14-06-2026,16
79,ESC-578,29-05-2026,RF-1273,Internal,TripHub,Email,"Marked complete on Support side, nothing received by agent",Resolved,06/06/26,8
80,ESC-579,31-05-2026,RF-1422,Agent,Wander Agency,WhatsApp,Refund amount received is less than the amount promised,Resolved,14-06-2026,14
81,ESC-580,31-05-2026,RF-1672,Agent,TripHub,Phone,"Refund stuck, no one owns it",Open,,30
82,ESC-581,02-06-2026,RF-1476,Agent,BlueJet Tours,WhatsApp,Repeated follow-ups on refund status with no reply,Open,,28
83,ESC-582,02-06-2026,RF-1566,Agent,Skyline Travels,Email,Support says refund is done but agent says money not credited,Open,,28
84,ESC-583,02-06-2026,RF-1211,Agent,Metro Yatra,Phone,Refund amount received is less than the amount promised,Open,,28
85,ESC-584,03-06-2026,RF-1183,Agent,Global Wings,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,19-06-2026,16
86,ESC-585,03-06-2026,RF-1555,Agent,Global Wings,Phone,"Agent chasing for a status update, no response",Resolved,08-06-2026,5
87,ESC-586,03-06-2026,not known,Agent,Peak Journeys,Phone,Email request appears to have been ignored entirely,Open,,27
88,ESC-587,05-06-2026,RF-1099,Agent,Peak Journeys,Email,"Emailed refund request for DEL-DXB, never got a ticket number",Open,,25
89,ESC-588,05-06-2026,RF-1092,Agent,Wander Agency,Email,"Agent chasing for a status update, no response",Open,,25
90,ESC-589,05-06-2026,RF-1558,Agent,Peak Journeys,Email,"Marked complete on Support side, nothing received by agent",Resolved,23-06-2026,18
91,ESC-590,06-06-2026,RF-1188,Agent,TripHub,WhatsApp,Two different refund figures quoted to the same agent,Open,,24
92,ESC-591,07-06-2026,RF-1466,Agent,Coral Voyages,WhatsApp,Refund amount received is less than the amount promised,Resolved,11-06-2026,4
93,ESC-592,08-06-2026,RF-1098,Agent,Nomad Travel,WhatsApp,WhatsApp refund request for BLR-MAA ignored for two weeks,Open,,22
94,ESC-593,09-06-2026,RF-1062,Agent,DeccanFly,WhatsApp,"Told refund rejected, but no reason given",Open,,21
95,ESC-594,10-06-2026,RF-1526,Agent,BlueJet Tours,WhatsApp,Refund amount received is less than the amount promised,Open,,20
96,ESC-595,10-06-2026,RF-1144,Agent,SafarNama Travel,Email,"Marked complete on Support side, nothing received by agent",Open,,20
97,ESC-596,11-06-2026,,Internal,Support,Email,Finance says they never received several refunds Support closed last month,Open,,19
98,ESC-597,11-06-2026,RF-1064,Agent,Orbit Travels,Email,"Ticket shows closed, Finance has no record of this refund",Open,,19
99,ESC-598,11-06-2026,RF-1810,Agent,BlueJet Tours,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,28-06-2026,17
100,ESC-599,11-06-2026,RF-1598,Agent,Voyage Desk,Phone,"Refund promised weeks ago, still sitting unpaid",Open,,19
101,ESC-600,13-06-2026,RF-1533,Agent,Metro Yatra,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,24-06-2026,11
102,ESC-601,13/06/26,,Agent,SafarNama Travel,Phone,Two different refund figures quoted to the same agent,Resolved,17/06/26,4
103,ESC-602,16/06/26,RF-1474,Agent,Kaveri Tours,Email,"Agent chasing for a status update, no response",Open,,14
104,ESC-603,16-06-2026,RF-1336,Agent,TripHub,Email,"Marked complete on Support side, nothing received by agent",Open,,14
105,ESC-604,16-06-2026,RF-1696,Agent,Peak Journeys,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,18-06-2026,2
106,ESC-605,17-06-2026,RF-1638,Internal,Wander Agency,Email,"Ticket shows closed, Finance has no record of this refund",Open,,13
107,ESC-606,17-06-2026,,Agent,Himalaya Holidays,Email,"No reference number given, agent chasing for two weeks",Open,,13
108,ESC-607,17-06-2026,RF-1067,Agent,GoFly Holidays,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,13
109,ESC-608,17-06-2026,not known,Agent,Peak Journeys,WhatsApp,Email request appears to have been ignored entirely,Open,,13
110,ESC-609,18-06-2026,RF-1390,Agent,Metro Yatra,Email,Two different refund figures quoted to the same agent,Open,,12
111,ESC-610,18-06-2026,RF-1549,Agent,Peak Journeys,Phone,Two different refund figures quoted to the same agent,Open,,12
112,ESC-611,19-06-2026,RF-1778,Agent,Skyline Travels,Email,"No update at all, payout stuck in approval queue",Resolved,29-06-2026,10
113,ESC-612,19-06-2026,RF-1446,Agent,Orbit Travels,Phone,Two different refund figures quoted to the same agent,Open,,11
114,ESC-613,19-06-2026,RF-1313,Agent,SafarNama Travel,Email,Refund amount received is less than the amount promised,Open,,11
115,ESC-614,21-06-2026,RF-1001,Agent,Skyline Travels,Email,"Refund promised weeks ago, still sitting unpaid",Open,,9
116,ESC-615,22-06-2026,RF-1574,Agent,GoFly Holidays,WhatsApp,"Agent chasing for a status update, no response",Open,,8
117,ESC-616,22-06-2026,RF-1537,Agent,Sunrise Trips,WhatsApp,"No update at all, payout stuck in approval queue",Open,,8
118,ESC-617,23-06-2026,RF-1259,Agent,BlueJet Tours,Phone,"Refund promised weeks ago, still sitting unpaid",Resolved,25-06-2026,2
119,ESC-618,24-06-2026,RF-1152,Agent,BlueJet Tours,Email,Two different refund figures quoted to the same agent,Open,,6
120,ESC-619,25-06-2026,RF-1123,Agent,BlueJet Tours,Email,"No update at all, payout stuck in approval queue",Open,,5
121,ESC-620,25-06-2026,RF-1745,Agent,BlueJet Tours,Email,"No update at all, payout stuck in approval queue",Open,,5
122,ESC-621,25-06-2026,-,Agent,Himalaya Holidays,Phone,Email request appears to have been ignored entirely,Open,,5
123,ESC-622,25-06-2026,RF-1221,Agent,Kaveri Tours,Email,Repeated follow-ups on refund status with no reply,Open,,5
124,ESC-623,25-06-2026,not known,Agent,GoFly Holidays,Email,"Sent refund request on WhatsApp, never got a ticket number",Open,,5
125,ESC-624,26-06-2026,RF-1145,Agent,Peak Journeys,Email,"Refund promised weeks ago, still sitting unpaid",Open,,4
126,ESC-625,26-06-2026,RF-1809,Agent,Metro Yatra,Email,"Marked complete on Support side, nothing received by agent",Open,,4
127,ESC-626,26-06-2026,RF-1490,Agent,Metro Yatra,Email,"Marked complete on Support side, nothing received by agent",Open,,4
128,ESC-627,26-06-2026,-,Agent,Sunrise Trips,Email,WhatsApp request appears to have been ignored entirely,Open,,4
129,ESC-628,27-06-2026,RF-1166,Agent,Peak Journeys,WhatsApp,Email request appears to have been ignored entirely,Open,,3
130,ESC-629,27/06/26,RF-1129,Agent,Global Wings,Email,Repeated follow-ups on refund status with no reply,Open,,3
131,ESC-630,27-06-2026,RF-1832,Agent,Nomad Travel,Phone,Refund amount received is less than the amount promised,Open,,3
132,ESC-631,27-06-2026,RF-1010,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Open,,3
133,ESC-632,27-06-2026,,Agent,Voyage Desk,Email,Email request appears to have been ignored entirely,Open,,3
134,ESC-633,27-06-2026,no ref,Agent,BlueJet Tours,Email,"Sent refund request on Email, never got a ticket number",Open,,3
135,ESC-634,27-06-2026,RF-1458,Agent,Skyline Travels,Phone,"Marked complete on Support side, nothing received by agent",Open,,3
136,ESC-635,27-06-2026,RF-1547,Agent,Metro Yatra,WhatsApp,WhatsApp request appears to have been ignored entirely,Resolved,29-06-2026,2
137,ESC-636,27-06-2026,RF-1757,Agent,Wander Agency,WhatsApp,"No update at all, payout stuck in approval queue",Open,,3
138,ESC-637,27-06-2026,not known,Agent,Coral Voyages,WhatsApp,Email request appears to have been ignored entirely,Open,,3
139,ESC-638,28-06-2026,RF-1794,Internal,Sunrise Trips,WhatsApp,"Ticket shows closed, Finance has no record of this refund",Open,,2
140,ESC-639,28-06-2026,RF-1292,Agent,Voyage Desk,Phone,"Agent chasing for a status update, no response",Open,,2
141,ESC-640,28-06-2026,RF-1668,Agent,Peak Journeys,Email,Support says refund is done but agent says money not credited,Open,,2
142,ESC-641,28-06-2026,RF-1854,Agent,DeccanFly,Email,Support says refund is done but agent says money not credited,Open,,2
143,ESC-642,28-06-2026,,Agent,Orbit Travels,WhatsApp,"No reference number given, agent chasing for two weeks",Open,,2
144,ESC-643,28-06-2026,RF-1560,Internal,TripHub,Email,Support says refund is done but agent says money not credited,Open,,2
145,ESC-644,29-06-2026,RF-1779,Agent,TripHub,WhatsApp,"Sent refund request on Email, never got a ticket number",Open,,1
146,ESC-645,29-06-2026,no ref,Agent,Voyage Desk,WhatsApp,WhatsApp request appears to have been ignored entirely,Open,,1
147,ESC-646,29-06-2026,no ref,Agent,Himalaya Holidays,Email,"No reference number given, agent chasing for two weeks",Open,,1
148,ESC-647,29-06-2026,RF-1791,Agent,TripHub,Email,"Agent chasing for a status update, no response",Open,,1
149,ESC-648,29-06-2026,RF-1511,Agent,Anand Travels,Email,"Refund promised weeks ago, still sitting unpaid",Open,,1
150,ESC-649,29-06-2026,RF-1516,Agent,GoFly Holidays,Email,"Ticket shows closed, Finance has no record of this refund",Open,,1
151,ESC-650,30-06-2026,no ref,Agent,Peak Journeys,Email,Email request appears to have been ignored entirely,Open,,0
152,ESC-651,30-06-2026,RF-1146,Agent,Wander Agency,Email,Email request appears to have been ignored entirely,Open,,0
153,ESC-652,30-06-2026,RF-1281,Agent,Voyage Desk,Phone,"Agent chasing for a status update, no response",Open,,0
154,ESC-653,30-06-2026,RF-1444,Agent,GoFly Holidays,Email,"Ticket shows closed, Finance has no record of this refund",Open,,0
155,ESC-654,30-06-2026,RF-1236,Agent,BlueJet Tours,Phone,"No reference number given, agent chasing for two weeks",Open,,0
156,ESC-655,30-06-2026,RF-1285,Agent,BlueJet Tours,Email,"Marked complete on Support side, nothing received by agent",Open,,0
