Escalation ID,Raised On,Related Ticket / Ref,Raised By,Agent / Team,Channel,Complaint,Status,Resolved On,Days Open
ESC-522,29-03-2026,RF-1338,Agent,GoFly Holidays,Email,Repeated follow-ups on refund status with no reply,Resolved,01-04-2026,3
ESC-523,31-03-2026,no ref,Agent,Peak Journeys,Email,Repeated follow-ups on refund status with no reply,Resolved,08-04-2026,8
ESC-524,02-04-2026,RF-1595,Agent,Metro Yatra,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,06-04-2026,4
ESC-525,02-04-2026,RF-1409,Agent,Nomad Travel,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-04-2026,15
ESC-526,02/04/26,RF-1632,Agent,BlueJet Tours,Email,"Agent chasing for a status update, no response",Open,,89
ESC-527,04-04-2026,RF-1852,Agent,Metro Yatra,Email,"Agent chasing for a status update, no response",Open,,87
ESC-528,05-04-2026,RF-1758,Agent,Yatri Junction,Phone,"Agent chasing for a status update, no response",Resolved,07-04-2026,2
ESC-529,07-04-2026,RF-1787,Agent,Peak Journeys,Phone,"Agent chasing for a status update, no response",Resolved,16-04-2026,9
ESC-530,09-04-2026,RF-1131,Agent,GoFly Holidays,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-04-2026,8
ESC-531,11-04-2026,RF-1738,Agent,TripHub,Phone,"Agent chasing for a status update, no response",Resolved,20-04-2026,9
ESC-532,12-04-2026,-,Agent,TripHub,Email,"No reference number given, agent chasing for two weeks",Resolved,14-04-2026,2
ESC-533,13-04-2026,RF-1101,Agent,GoFly Holidays,Email,Repeated follow-ups on refund status with no reply,Resolved,26-04-2026,13
ESC-534,13-04-2026,RF-1007,Agent,TripHub,Phone,Repeated follow-ups on refund status with no reply,Resolved,15/04/26,2
ESC-535,14-04-2026,RF-1111,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,21-04-2026,7
ESC-536,15-04-2026,RF-1839,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,23-04-2026,8
ESC-537,15-04-2026,RF-1777,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,30-04-2026,15
ESC-538,19-04-2026,RF-1459,Agent,BlueJet Tours,WhatsApp,"Agent chasing for a status update, no response",Resolved,04-05-2026,15
ESC-539,20-04-2026,RF-1800,Agent,Anand Travels,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,05-05-2026,15
ESC-540,20-04-2026,RF-1020,Agent,BlueJet Tours,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,27-04-2026,7
ESC-541,22-04-2026,RF-1585,Internal,Wander Agency,WhatsApp,"Marked complete on Support side, nothing received by agent",Resolved,02-05-2026,10
ESC-542,22-04-2026,RF-1803,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,05-05-2026,13
ESC-543,23-04-2026,RF-1331,Agent,Wander Agency,WhatsApp,"Agent chasing for a status update, no response",Open,,68
ESC-544,25-04-2026,RF-1333,Agent,Nomad Travel,Email,Repeated follow-ups on refund status with no reply,Resolved,09-05-2026,14
ESC-545,25-04-2026,RF-1859,Agent,Himalaya Holidays,Email,"Agent chasing for a status update, no response",Resolved,01-05-2026,6
ESC-546,25-04-2026,RF-1635,Agent,Wander Agency,Email,"Agent chasing for a status update, no response",Resolved,27-04-2026,2
ESC-547,27-04-2026,RF-1089,Agent,Sunrise Trips,Email,"Agent chasing for a status update, no response",Open,,64
ESC-548,28-04-2026,no ref,Agent,Nomad Travel,Phone,"Sent refund request on Email, never got a ticket number",Resolved,14-05-2026,16
ESC-549,30-04-2026,,Agent,GoFly Holidays,Phone,WhatsApp request appears to have been ignored entirely,Resolved,06-05-2026,6
ESC-550,04-05-2026,RF-1324,Agent,Nomad Travel,Email,"Agent chasing for a status update, no response",Resolved,11-05-2026,7
ESC-551,06-05-2026,RF-1432,Agent,Global Wings,Phone,"Agent chasing for a status update, no response",Resolved,14-05-2026,8
ESC-552,06-05-2026,RF-1508,Internal,Metro Yatra,WhatsApp,"Ticket shows closed, Finance has no record of this refund",Open,,55
ESC-553,09-05-2026,RF-1697,Agent,Voyage Desk,Email,"Agent chasing for a status update, no response",Open,,52
ESC-554,11-05-2026,RF-1743,Agent,Global Wings,Email,Repeated follow-ups on refund status with no reply,Open,,50
ESC-555,12-05-2026,RF-1248,Agent,Peak Journeys,WhatsApp,Repeated follow-ups on refund status with no reply,Open,,49
ESC-556,12-05-2026,RF-1197,Agent,GoFly Holidays,WhatsApp,Two different refund figures quoted to the same agent,Resolved,22-05-2026,10
ESC-557,13-05-2026,RF-1363,Agent,Metro Yatra,WhatsApp,"Agent chasing for a status update, no response",Resolved,19-05-2026,6
ESC-558,13-05-2026,RF-1645,Agent,BlueJet Tours,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,48
ESC-559,14-05-2026,RF-1394,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Resolved,20-05-2026,6
ESC-560,14-05-2026,RF-1040,Internal,Voyage Desk,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,47
ESC-561,16-05-2026,RF-1524,Agent,Orbit Travels,Phone,"Agent chasing for a status update, no response",Resolved,25-05-2026,9
ESC-562,16-05-2026,RF-1805,Agent,Peak Journeys,Phone,Two different refund figures quoted to the same agent,Resolved,22-05-2026,6
ESC-563,18-05-2026,RF-1753,Agent,DeccanFly,Phone,Repeated follow-ups on refund status with no reply,Open,,43
ESC-564,18-05-2026,RF-1535,Agent,Sunrise Trips,Email,Repeated follow-ups on refund status with no reply,Open,,43
ESC-565,19-05-2026,RF-1118,Internal,Lotus Travel Co,Email,"Marked complete on Support side, nothing received by agent",Resolved,27-05-2026,8
ESC-566,19-05-2026,RF-1233,Agent,Orbit Travels,Email,Email request appears to have been ignored entirely,Open,,42
ESC-567,19-05-2026,RF-1139,Agent,Nomad Travel,Phone,"Short payment - agent expected full amount, no deduction explained",Open,,42
ESC-568,23-05-2026,RF-1501,Agent,Peak Journeys,WhatsApp,"Agent chasing for a status update, no response",Resolved,03-06-2026,11
ESC-569,23-05-2026,RF-1707,Agent,Coral Voyages,Phone,"Refund promised weeks ago, still sitting unpaid",Resolved,09-06-2026,17
ESC-570,23-05-2026,RF-1065,Agent,BlueJet Tours,Email,Refund amount received is less than the amount promised,Resolved,27-05-2026,4
ESC-571,24-05-2026,RF-1614,Agent,Metro Yatra,Email,"Told refund rejected, but no reason given",Open,,37
ESC-572,24-05-2026,RF-1382,Agent,Wander Agency,Phone,"Short payment - agent expected full amount, no deduction explained",Open,,37
ESC-573,25-05-2026,RF-1339,Agent,Peak Journeys,Email,"No reference number given, agent chasing for two weeks",Open,,36
ESC-574,26-05-2026,RF-1416,Agent,Wander Agency,Phone,"Short payment - agent expected full amount, no deduction explained",Resolved,02-06-2026,7
ESC-575,27/05/26,RF-1355,Agent,Peak Journeys,Email,Refund amount received is less than the amount promised,Open,,34
ESC-576,28-05-2026,RF-1776,Agent,Lotus Travel Co,Email,Decline communicated without any policy explanation,Resolved,12-06-2026,15
ESC-577,29-05-2026,RF-1199,Internal,Nomad Travel,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,14-06-2026,16
ESC-578,29-05-2026,RF-1273,Internal,TripHub,Email,"Marked complete on Support side, nothing received by agent",Resolved,06/06/26,8
ESC-579,31-05-2026,RF-1422,Agent,Wander Agency,WhatsApp,Refund amount received is less than the amount promised,Resolved,14-06-2026,14
ESC-580,31-05-2026,RF-1672,Agent,TripHub,Phone,"Refund stuck, no one owns it",Open,,30
ESC-581,02-06-2026,RF-1476,Agent,BlueJet Tours,WhatsApp,Repeated follow-ups on refund status with no reply,Open,,28
ESC-582,02-06-2026,RF-1566,Agent,Skyline Travels,Email,Support says refund is done but agent says money not credited,Open,,28
ESC-583,02-06-2026,RF-1211,Agent,Metro Yatra,Phone,Refund amount received is less than the amount promised,Open,,28
ESC-584,03-06-2026,RF-1183,Agent,Global Wings,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,19-06-2026,16
ESC-585,03-06-2026,RF-1555,Agent,Global Wings,Phone,"Agent chasing for a status update, no response",Resolved,08-06-2026,5
ESC-586,03-06-2026,not known,Agent,Peak Journeys,Phone,Email request appears to have been ignored entirely,Open,,27
ESC-587,05-06-2026,RF-1099,Agent,Peak Journeys,Email,"Emailed refund request for DEL-DXB, never got a ticket number",Open,,25
ESC-588,05-06-2026,RF-1092,Agent,Wander Agency,Email,"Agent chasing for a status update, no response",Open,,25
ESC-589,05-06-2026,RF-1558,Agent,Peak Journeys,Email,"Marked complete on Support side, nothing received by agent",Resolved,23-06-2026,18
ESC-590,06-06-2026,RF-1188,Agent,TripHub,WhatsApp,Two different refund figures quoted to the same agent,Open,,24
ESC-591,07-06-2026,RF-1466,Agent,Coral Voyages,WhatsApp,Refund amount received is less than the amount promised,Resolved,11-06-2026,4
ESC-592,08-06-2026,RF-1098,Agent,Nomad Travel,WhatsApp,WhatsApp refund request for BLR-MAA ignored for two weeks,Open,,22
ESC-593,09-06-2026,RF-1062,Agent,DeccanFly,WhatsApp,"Told refund rejected, but no reason given",Open,,21
ESC-594,10-06-2026,RF-1526,Agent,BlueJet Tours,WhatsApp,Refund amount received is less than the amount promised,Open,,20
ESC-595,10-06-2026,RF-1144,Agent,SafarNama Travel,Email,"Marked complete on Support side, nothing received by agent",Open,,20
ESC-596,11-06-2026,,Internal,Support,Email,Finance says they never received several refunds Support closed last month,Open,,19
ESC-597,11-06-2026,RF-1064,Agent,Orbit Travels,Email,"Ticket shows closed, Finance has no record of this refund",Open,,19
ESC-598,11-06-2026,RF-1810,Agent,BlueJet Tours,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,28-06-2026,17
ESC-599,11-06-2026,RF-1598,Agent,Voyage Desk,Phone,"Refund promised weeks ago, still sitting unpaid",Open,,19
ESC-600,13-06-2026,RF-1533,Agent,Metro Yatra,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,24-06-2026,11
ESC-601,13/06/26,,Agent,SafarNama Travel,Phone,Two different refund figures quoted to the same agent,Resolved,17/06/26,4
ESC-602,16/06/26,RF-1474,Agent,Kaveri Tours,Email,"Agent chasing for a status update, no response",Open,,14
ESC-603,16-06-2026,RF-1336,Agent,TripHub,Email,"Marked complete on Support side, nothing received by agent",Open,,14
ESC-604,16-06-2026,RF-1696,Agent,Peak Journeys,Email,"Ticket shows closed, Finance has no record of this refund",Resolved,18-06-2026,2
ESC-605,17-06-2026,RF-1638,Internal,Wander Agency,Email,"Ticket shows closed, Finance has no record of this refund",Open,,13
ESC-606,17-06-2026,,Agent,Himalaya Holidays,Email,"No reference number given, agent chasing for two weeks",Open,,13
ESC-607,17-06-2026,RF-1067,Agent,GoFly Holidays,Phone,"Ticket shows closed, Finance has no record of this refund",Open,,13
ESC-608,17-06-2026,not known,Agent,Peak Journeys,WhatsApp,Email request appears to have been ignored entirely,Open,,13
ESC-609,18-06-2026,RF-1390,Agent,Metro Yatra,Email,Two different refund figures quoted to the same agent,Open,,12
ESC-610,18-06-2026,RF-1549,Agent,Peak Journeys,Phone,Two different refund figures quoted to the same agent,Open,,12
ESC-611,19-06-2026,RF-1778,Agent,Skyline Travels,Email,"No update at all, payout stuck in approval queue",Resolved,29-06-2026,10
ESC-612,19-06-2026,RF-1446,Agent,Orbit Travels,Phone,Two different refund figures quoted to the same agent,Open,,11
ESC-613,19-06-2026,RF-1313,Agent,SafarNama Travel,Email,Refund amount received is less than the amount promised,Open,,11
ESC-614,21-06-2026,RF-1001,Agent,Skyline Travels,Email,"Refund promised weeks ago, still sitting unpaid",Open,,9
ESC-615,22-06-2026,RF-1574,Agent,GoFly Holidays,WhatsApp,"Agent chasing for a status update, no response",Open,,8
ESC-616,22-06-2026,RF-1537,Agent,Sunrise Trips,WhatsApp,"No update at all, payout stuck in approval queue",Open,,8
ESC-617,23-06-2026,RF-1259,Agent,BlueJet Tours,Phone,"Refund promised weeks ago, still sitting unpaid",Resolved,25-06-2026,2
ESC-618,24-06-2026,RF-1152,Agent,BlueJet Tours,Email,Two different refund figures quoted to the same agent,Open,,6
ESC-619,25-06-2026,RF-1123,Agent,BlueJet Tours,Email,"No update at all, payout stuck in approval queue",Open,,5
ESC-620,25-06-2026,RF-1745,Agent,BlueJet Tours,Email,"No update at all, payout stuck in approval queue",Open,,5
ESC-621,25-06-2026,-,Agent,Himalaya Holidays,Phone,Email request appears to have been ignored entirely,Open,,5
ESC-622,25-06-2026,RF-1221,Agent,Kaveri Tours,Email,Repeated follow-ups on refund status with no reply,Open,,5
ESC-623,25-06-2026,not known,Agent,GoFly Holidays,Email,"Sent refund request on WhatsApp, never got a ticket number",Open,,5
ESC-624,26-06-2026,RF-1145,Agent,Peak Journeys,Email,"Refund promised weeks ago, still sitting unpaid",Open,,4
ESC-625,26-06-2026,RF-1809,Agent,Metro Yatra,Email,"Marked complete on Support side, nothing received by agent",Open,,4
ESC-626,26-06-2026,RF-1490,Agent,Metro Yatra,Email,"Marked complete on Support side, nothing received by agent",Open,,4
ESC-627,26-06-2026,-,Agent,Sunrise Trips,Email,WhatsApp request appears to have been ignored entirely,Open,,4
ESC-628,27-06-2026,RF-1166,Agent,Peak Journeys,WhatsApp,Email request appears to have been ignored entirely,Open,,3
ESC-629,27/06/26,RF-1129,Agent,Global Wings,Email,Repeated follow-ups on refund status with no reply,Open,,3
ESC-630,27-06-2026,RF-1832,Agent,Nomad Travel,Phone,Refund amount received is less than the amount promised,Open,,3
ESC-631,27-06-2026,RF-1010,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Open,,3
ESC-632,27-06-2026,,Agent,Voyage Desk,Email,Email request appears to have been ignored entirely,Open,,3
ESC-633,27-06-2026,no ref,Agent,BlueJet Tours,Email,"Sent refund request on Email, never got a ticket number",Open,,3
ESC-634,27-06-2026,RF-1458,Agent,Skyline Travels,Phone,"Marked complete on Support side, nothing received by agent",Open,,3
ESC-635,27-06-2026,RF-1547,Agent,Metro Yatra,WhatsApp,WhatsApp request appears to have been ignored entirely,Resolved,29-06-2026,2
ESC-636,27-06-2026,RF-1757,Agent,Wander Agency,WhatsApp,"No update at all, payout stuck in approval queue",Open,,3
ESC-637,27-06-2026,not known,Agent,Coral Voyages,WhatsApp,Email request appears to have been ignored entirely,Open,,3
ESC-638,28-06-2026,RF-1794,Internal,Sunrise Trips,WhatsApp,"Ticket shows closed, Finance has no record of this refund",Open,,2
ESC-639,28-06-2026,RF-1292,Agent,Voyage Desk,Phone,"Agent chasing for a status update, no response",Open,,2
ESC-640,28-06-2026,RF-1668,Agent,Peak Journeys,Email,Support says refund is done but agent says money not credited,Open,,2
ESC-641,28-06-2026,RF-1854,Agent,DeccanFly,Email,Support says refund is done but agent says money not credited,Open,,2
ESC-642,28-06-2026,,Agent,Orbit Travels,WhatsApp,"No reference number given, agent chasing for two weeks",Open,,2
ESC-643,28-06-2026,RF-1560,Internal,TripHub,Email,Support says refund is done but agent says money not credited,Open,,2
ESC-644,29-06-2026,RF-1779,Agent,TripHub,WhatsApp,"Sent refund request on Email, never got a ticket number",Open,,1
ESC-645,29-06-2026,no ref,Agent,Voyage Desk,WhatsApp,WhatsApp request appears to have been ignored entirely,Open,,1
ESC-646,29-06-2026,no ref,Agent,Himalaya Holidays,Email,"No reference number given, agent chasing for two weeks",Open,,1
ESC-647,29-06-2026,RF-1791,Agent,TripHub,Email,"Agent chasing for a status update, no response",Open,,1
ESC-648,29-06-2026,RF-1511,Agent,Anand Travels,Email,"Refund promised weeks ago, still sitting unpaid",Open,,1
ESC-649,29-06-2026,RF-1516,Agent,GoFly Holidays,Email,"Ticket shows closed, Finance has no record of this refund",Open,,1
ESC-650,30-06-2026,no ref,Agent,Peak Journeys,Email,Email request appears to have been ignored entirely,Open,,0
ESC-651,30-06-2026,RF-1146,Agent,Wander Agency,Email,Email request appears to have been ignored entirely,Open,,0
ESC-652,30-06-2026,RF-1281,Agent,Voyage Desk,Phone,"Agent chasing for a status update, no response",Open,,0
ESC-653,30-06-2026,RF-1444,Agent,GoFly Holidays,Email,"Ticket shows closed, Finance has no record of this refund",Open,,0
ESC-654,30-06-2026,RF-1236,Agent,BlueJet Tours,Phone,"No reference number given, agent chasing for two weeks",Open,,0
ESC-655,30-06-2026,RF-1285,Agent,BlueJet Tours,Email,"Marked complete on Support side, nothing received by agent",Open,,0
